Site_Name,State,Loc_Name,Start_Date,Target_Species,Plot_Name,Spp_Name,Spp_Code,Measurement
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A1,Common periwinkle (Littorina littorea),LITLIT,9
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A1,Common periwinkle (Littorina littorea),LITLIT,10
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A1,Common periwinkle (Littorina littorea),LITLIT,23
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A1,Smooth periwinkle (Littorina obtusata),LITOBT,8
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A1,Smooth periwinkle (Littorina obtusata),LITOBT,10
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A1,Smooth periwinkle (Littorina obtusata),LITOBT,11
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A1,Smooth periwinkle (Littorina obtusata),LITOBT,12
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A1,Smooth periwinkle (Littorina obtusata),LITOBT,12
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A1,Smooth periwinkle (Littorina obtusata),LITOBT,12
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Common periwinkle (Littorina littorea),LITLIT,16
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Common periwinkle (Littorina littorea),LITLIT,17
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Common periwinkle (Littorina littorea),LITLIT,18
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Common periwinkle (Littorina littorea),LITLIT,19
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Common periwinkle (Littorina littorea),LITLIT,20
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Common periwinkle (Littorina littorea),LITLIT,20
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Common periwinkle (Littorina littorea),LITLIT,20
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Common periwinkle (Littorina littorea),LITLIT,23
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Dogwhelk (Nucella lapillus),NUCLAP,31
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Smooth periwinkle (Littorina obtusata),LITOBT,10
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Smooth periwinkle (Littorina obtusata),LITOBT,11
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Smooth periwinkle (Littorina obtusata),LITOBT,11
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Smooth periwinkle (Littorina obtusata),LITOBT,11
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Smooth periwinkle (Littorina obtusata),LITOBT,11
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Smooth periwinkle (Littorina obtusata),LITOBT,11
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Smooth periwinkle (Littorina obtusata),LITOBT,11
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Smooth periwinkle (Littorina obtusata),LITOBT,12
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Smooth periwinkle (Littorina obtusata),LITOBT,12
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Smooth periwinkle (Littorina obtusata),LITOBT,13
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Common periwinkle (Littorina littorea),LITLIT,7
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Common periwinkle (Littorina littorea),LITLIT,8
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Common periwinkle (Littorina littorea),LITLIT,13
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Common periwinkle (Littorina littorea),LITLIT,16
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Common periwinkle (Littorina littorea),LITLIT,17
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Common periwinkle (Littorina littorea),LITLIT,18
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Common periwinkle (Littorina littorea),LITLIT,19
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Common periwinkle (Littorina littorea),LITLIT,19
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Common periwinkle (Littorina littorea),LITLIT,22
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Common periwinkle (Littorina littorea),LITLIT,24
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Dogwhelk (Nucella lapillus),NUCLAP,25
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Dogwhelk (Nucella lapillus),NUCLAP,26
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Smooth periwinkle (Littorina obtusata),LITOBT,7
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Smooth periwinkle (Littorina obtusata),LITOBT,8
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Smooth periwinkle (Littorina obtusata),LITOBT,9
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Smooth periwinkle (Littorina obtusata),LITOBT,10
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Smooth periwinkle (Littorina obtusata),LITOBT,10
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Smooth periwinkle (Littorina obtusata),LITOBT,11
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Smooth periwinkle (Littorina obtusata),LITOBT,11
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Smooth periwinkle (Littorina obtusata),LITOBT,12
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Smooth periwinkle (Littorina obtusata),LITOBT,12
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Smooth periwinkle (Littorina obtusata),LITOBT,13
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A4,Common periwinkle (Littorina littorea),LITLIT,16
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A4,Common periwinkle (Littorina littorea),LITLIT,17
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A4,Common periwinkle (Littorina littorea),LITLIT,17
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A4,Common periwinkle (Littorina littorea),LITLIT,18
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A4,Common periwinkle (Littorina littorea),LITLIT,19
