"Site_Name","Site_Code","Loc_Name","Loc_Code","Start_Date","Plot_Name","PI_Distance","Spp_Code","Spp_Name"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",0.00,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",0.30,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",0.60,"WATER","Water"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",0.90,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",1.20,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",1.50,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",1.80,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",2.10,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",2.40,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",2.70,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",3.00,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",3.30,"WATER","Water"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",3.60,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",3.90,"WATER","Water"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",4.20,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",4.50,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",4.80,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",5.10,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",5.40,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",5.70,"WATER","Water"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",6.00,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",6.30,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",6.60,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",6.90,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",7.20,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",7.50,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",7.80,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",8.10,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",8.40,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",8.70,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",9.00,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",9.30,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",9.60,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",9.90,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",10.20,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",10.50,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",10.80,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",11.10,"BARSPP","Barnacle (e.g. S. balanoides)"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",11.40,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",11.70,"BARSPP","Barnacle (e.g. S. balanoides)"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",12.00,"FUCSPP","Rockweed (Fucus) spp."
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",12.30,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",12.60,"BARSPP","Barnacle (e.g. S. balanoides)"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",12.90,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",13.20,"NONCOR","Crustose non-coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",13.50,"FUCSPP","Rockweed (Fucus) spp."
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",13.80,"ROCK","Rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",14.10,"FUCSPP","Rockweed (Fucus) spp."
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",14.40,"UNIDEN","Unidentified"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",14.70,"BARSPP","Barnacle (e.g. S. balanoides)"
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",15.00,"FUCSPP","Rockweed (Fucus) spp."
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",15.30,"FUCSPP","Rockweed (Fucus) spp."
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",15.60,"FUCSPP","Rockweed (Fucus) spp."
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",15.90,"FUCSPP","Rockweed (Fucus) spp."
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",16.20,"FUCSPP","Rockweed (Fucus) spp."
"Acadia NP","ACAD","Bass Harbor","BASHAR",6/21/2013 0:00:00,"T1",16.50,"FUCSPP","Rockweed (Fucus) spp."
