"Site_Name","Loc_Name","Start_Date","Year","Plot_Name","Com_Sp","variable","value"
"Acadia NP","Bass Harbor",2013-06-21,"2013","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2014-06-21,"2014","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2014-06-21,"2014","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.6
"Acadia NP","Bass Harbor",2014-06-21,"2014","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2015-06-12,"2015","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2015-06-12,"2015","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.25
"Acadia NP","Bass Harbor",2015-06-12,"2015","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2016-06-28,"2016","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2016-06-28,"2016","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.1
"Acadia NP","Bass Harbor",2016-06-28,"2016","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2017-06-25,"2017","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2017-06-25,"2017","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.75
"Acadia NP","Bass Harbor",2017-06-25,"2017","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2018-05-18,"2018","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2018-05-18,"2018","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.9
"Acadia NP","Bass Harbor",2018-05-18,"2018","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2019-06-11,"2019","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Bass Harbor",2019-06-11,"2019","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2019-06-11,"2019","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Little Hunter",2016-06-27,"2016","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Little Hunter",2016-06-27,"2016","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Little Hunter",2016-06-27,"2016","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",9.7
"Acadia NP","Little Hunter",2017-06-28,"2017","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Little Hunter",2017-06-28,"2017","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Little Hunter",2017-06-28,"2017","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",21.7
"Acadia NP","Little Hunter",2018-05-19,"2018","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Little Hunter",2018-05-19,"2018","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.3
"Acadia NP","Little Hunter",2018-05-19,"2018","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",19.5
"Acadia NP","Little Hunter",2019-06-08,"2019","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Little Hunter",2019-06-08,"2019","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Little Hunter",2019-06-08,"2019","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",9.95
"Acadia NP","Little Moose",2016-06-25,"2016","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",8.75
"Acadia NP","Little Moose",2016-06-25,"2016","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.2
"Acadia NP","Little Moose",2016-06-25,"2016","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",16.3
"Acadia NP","Little Moose",2017-06-24,"2017","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",27.15
"Acadia NP","Little Moose",2017-06-24,"2017","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",2.7
"Acadia NP","Little Moose",2017-06-24,"2017","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",24.55
"Acadia NP","Little Moose",2018-05-18,"2018","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",5.3
"Acadia NP","Little Moose",2018-05-18,"2018","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",2.3
"Acadia NP","Little Moose",2018-05-18,"2018","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",17.55
"Acadia NP","Little Moose",2019-06-07,"2019","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",9.9
"Acadia NP","Little Moose",2019-06-07,"2019","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",1.45
"Acadia NP","Little Moose",2019-06-07,"2019","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",19
"Acadia NP","Otter Point",2013-06-23,"2013","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2013-06-23,"2013","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2013-06-23,"2013","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.25
"Acadia NP","Otter Point",2014-06-19,"2014","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2014-06-19,"2014","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.45
"Acadia NP","Otter Point",2014-06-19,"2014","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",1.65
"Acadia NP","Otter Point",2015-06-10,"2015","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2015-06-10,"2015","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2015-06-10,"2015","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.35
"Acadia NP","Otter Point",2016-06-26,"2016","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2016-06-26,"2016","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2016-06-26,"2016","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.65
"Acadia NP","Otter Point",2017-06-27,"2017","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.55
"Acadia NP","Otter Point",2017-06-27,"2017","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.65
"Acadia NP","Otter Point",2017-06-27,"2017","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",1.55
"Acadia NP","Otter Point",2018-05-20,"2018","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.55
"Acadia NP","Otter Point",2018-05-20,"2018","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.1
"Acadia NP","Otter Point",2018-05-20,"2018","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",1.2
"Acadia NP","Otter Point",2019-06-09,"2019","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.7
"Acadia NP","Otter Point",2019-06-09,"2019","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2019-06-09,"2019","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",2.6
"Acadia NP","Schoodic Point",2013-06-19,"2013","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",1.5
"Acadia NP","Schoodic Point",2013-06-19,"2013","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.9
"Acadia NP","Schoodic Point",2013-06-19,"2013","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Schoodic Point",2014-06-17,"2014","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.2
"Acadia NP","Schoodic Point",2014-06-17,"2014","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.5
"Acadia NP","Schoodic Point",2014-06-17,"2014","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Schoodic Point",2015-06-08,"2015","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Schoodic Point",2015-06-08,"2015","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Schoodic Point",2015-06-08,"2015","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Schoodic Point",2016-06-24,"2016","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",1.3
"Acadia NP","Schoodic Point",2016-06-24,"2016","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.3
"Acadia NP","Schoodic Point",2016-06-24,"2016","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Schoodic Point",2017-06-23,"2017","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Schoodic Point",2017-06-23,"2017","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Schoodic Point",2017-06-23,"2017","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Schoodic Point",2018-05-24,"2018","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Schoodic Point",2018-05-24,"2018","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Schoodic Point",2018-05-24,"2018","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Schoodic Point",2019-06-13,"2019","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Schoodic Point",2019-06-13,"2019","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.1
"Acadia NP","Schoodic Point",2019-06-13,"2019","X3","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Ship Harbor",2013-06-22,"2013","X1","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Ship Harbor",2013-06-22,"2013","X2","Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
