Site_Name,Site_Code,Loc_Name,Loc_Code,Year,Common,Species,Spp_Name,Com_Sp,Zone,variable,QAQC,mean,se,N
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Ascophyllum,Abundance,FALSE,126.66,93.78,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Ascophyllum,logAbundance,FALSE,3.84,0.69,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Ascophyllum,Proportion.Damaged,FALSE,0.31,0.07,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Ascophyllum,Abundance,TRUE,172.94,144.62,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Ascophyllum,logAbundance,TRUE,3.64,0.88,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Ascophyllum,Proportion.Damaged,TRUE,0.28,0.06,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Barnacle,Abundance,FALSE,1.08,0.66,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Barnacle,logAbundance,FALSE,0.4,0.24,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Barnacle,Proportion.Damaged,FALSE,0.15,0.09,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Barnacle,Abundance,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Barnacle,logAbundance,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Barnacle,Proportion.Damaged,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Fucus,Abundance,FALSE,174.72,101.66,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Fucus,logAbundance,FALSE,4.51,0.6,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Fucus,Proportion.Damaged,FALSE,0.17,0.08,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Fucus,Abundance,TRUE,52,16.9,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Fucus,logAbundance,TRUE,3.28,0.84,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Fucus,Proportion.Damaged,TRUE,0.22,0.08,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Red Algae,Abundance,FALSE,2.14,0.99,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Red Algae,logAbundance,FALSE,0.73,0.32,5
