"Site_Name","Loc_Name","Start_Date","Year","Species","Com_Sp","Plot_Name","QAQC","Zone","variable","units","value"
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITLIT","Common periwinkle (Littorina littorea)","A1",FALSE,"Ascophyllum","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","A1",FALSE,"Ascophyllum","Abundance","m2",26.7
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","A1",FALSE,"Ascophyllum","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","NUCLAP","Dogwhelk (Nucella lapillus)","A1",FALSE,"Ascophyllum","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","TECTES","Limpet (Tectura testudinalis)","A1",FALSE,"Ascophyllum","Abundance","m2",8
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITLIT","Common periwinkle (Littorina littorea)","A2",FALSE,"Ascophyllum","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","A2",FALSE,"Ascophyllum","Abundance","m2",13.3
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","A2",FALSE,"Ascophyllum","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","NUCLAP","Dogwhelk (Nucella lapillus)","A2",FALSE,"Ascophyllum","Abundance","m2",13.3
"Acadia NP","Schoodic Point",2013-06-19,"2013","TECTES","Limpet (Tectura testudinalis)","A2",FALSE,"Ascophyllum","Abundance","m2",2.7
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITLIT","Common periwinkle (Littorina littorea)","A3",FALSE,"Ascophyllum","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","A3",FALSE,"Ascophyllum","Abundance","m2",24
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","A3",FALSE,"Ascophyllum","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","NUCLAP","Dogwhelk (Nucella lapillus)","A3",FALSE,"Ascophyllum","Abundance","m2",26.7
"Acadia NP","Schoodic Point",2013-06-19,"2013","TECTES","Limpet (Tectura testudinalis)","A3",FALSE,"Ascophyllum","Abundance","m2",5.3
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITLIT","Common periwinkle (Littorina littorea)","A4",FALSE,"Ascophyllum","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","A4",FALSE,"Ascophyllum","Abundance","m2",37.3
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","A4",FALSE,"Ascophyllum","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","NUCLAP","Dogwhelk (Nucella lapillus)","A4",FALSE,"Ascophyllum","Abundance","m2",21.3
"Acadia NP","Schoodic Point",2013-06-19,"2013","TECTES","Limpet (Tectura testudinalis)","A4",FALSE,"Ascophyllum","Abundance","m2",10.7
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITLIT","Common periwinkle (Littorina littorea)","A5",FALSE,"Ascophyllum","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","A5",FALSE,"Ascophyllum","Abundance","m2",10.7
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","A5",FALSE,"Ascophyllum","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","NUCLAP","Dogwhelk (Nucella lapillus)","A5",FALSE,"Ascophyllum","Abundance","m2",18.7
"Acadia NP","Schoodic Point",2013-06-19,"2013","TECTES","Limpet (Tectura testudinalis)","A5",FALSE,"Ascophyllum","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITLIT","Common periwinkle (Littorina littorea)","B1",FALSE,"Barnacle","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","B1",FALSE,"Barnacle","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","B1",FALSE,"Barnacle","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","NUCLAP","Dogwhelk (Nucella lapillus)","B1",FALSE,"Barnacle","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","TECTES","Limpet (Tectura testudinalis)","B1",FALSE,"Barnacle","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITLIT","Common periwinkle (Littorina littorea)","B2",FALSE,"Barnacle","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","B2",FALSE,"Barnacle","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","B2",FALSE,"Barnacle","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","NUCLAP","Dogwhelk (Nucella lapillus)","B2",FALSE,"Barnacle","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","TECTES","Limpet (Tectura testudinalis)","B2",FALSE,"Barnacle","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITLIT","Common periwinkle (Littorina littorea)","B3",FALSE,"Barnacle","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","B3",FALSE,"Barnacle","Abundance","m2",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","B3",FALSE,"Barnacle","Abundance","m2",0
