"Loc_Code","QAQC","Spp_Code","mean","sd","N","se","Common_Name","Spp_Name","Category","TSN","Comments","Site_Name","Site_Code","Loc_Name"
"BASHAR","0","ALGGRE",0.024,0.02,12,0.00577350269189626,"Other Algae - Green","Other Algae - Green","Species Group",-897,"green algae species other than those listed","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","ALGRED",0.002,0.004,12,0.00115470053837925,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","ARTCOR",0.003,0.006,12,0.00173205080756888,"Articulated Corallines","Articulated Corallines","Species Group",-886,"branched, calcified red algae","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","ASCNOD",0.002,0.004,12,0.00115470053837925,"Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","BARSPP",0.131,0.091,12,0.026269437248128,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","BOLT",0.001,0.002,12,0.000577350269189626,"Bolt","Bolt","Substrate",-881,"Washer or bolt","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","CHOMAS",0.076,0.037,12,0.0106809799800081,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","CRUCOR",0.001,0.002,12,0.000577350269189626,"Crustose coraline","Crustose coraline","Species Group",-885,"crust forming red algae group","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","ENTSPP",0.001,0.002,12,0.000577350269189626,"Grass kelp","Enteromorpha spp.","Species Group",6515,"grass kelp genus","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","FUCEPI",0.025,0.012,12,0.00346410161513775,"Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp.","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","FUCSPP",0.442,0.11,12,0.0317542648054294,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","NONCOR",0.09,0.026,12,0.00750555349946513,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","OTHSUB",0.001,0.002,12,0.000577350269189626,"Other Substrate","Other Substrate","Substrate",-894,"substrate other than Rock, Sand, or Tar","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","PALPAL",0.001,0.002,12,0.000577350269189626,"Dulse","Palmaria palmata","Species",12842,"red algae species","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","PORSPP",0.003,0.004,12,0.00115470053837925,"Laver","Porphyra spp.","Genus",11540,"seaweed genus","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","ROCK",0.142,0.033,12,0.00952627944162883,"Rock","Rock","Substrate",-893,"rock","Acadia NP","ACAD","Bass Harbor"
"BASHAR","0","ULVSPP",0.029,0.037,12,0.0106809799800081,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha","Acadia NP","ACAD","Bass Harbor"
