"Loc_Name","Year","QAQC","Spp_Name","variable","mean","se","N","Site_Name","Spp_Code","Common","Com_Sp"
"Bass Harbor","2013","0","Strongylocentrotus droebachiensis","Abundance",0,0,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2013","0","Strongylocentrotus droebachiensis","logAbundance",0,0,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2013","0","Henricia sanguinolenta","Abundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2013","0","Henricia sanguinolenta","logAbundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2013","0","Asterias rubens","Abundance",0,0,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2013","0","Asterias rubens","logAbundance",0,0,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2013","0","Asterias forbesii","Abundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Bass Harbor","2013","0","Asterias forbesii","logAbundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Bass Harbor","2014","0","Strongylocentrotus droebachiensis","Abundance",0.2,0.2,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2014","0","Strongylocentrotus droebachiensis","logAbundance",0.16,0.16,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2014","0","Henricia sanguinolenta","Abundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2014","0","Henricia sanguinolenta","logAbundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2014","0","Asterias rubens","Abundance",0.02,0.02,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2014","0","Asterias rubens","logAbundance",0.02,0.02,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2014","0","Asterias forbesii","Abundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Bass Harbor","2014","0","Asterias forbesii","logAbundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Bass Harbor","2015","0","Strongylocentrotus droebachiensis","Abundance",0.08,0.08,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2015","0","Strongylocentrotus droebachiensis","logAbundance",0.07,0.07,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2015","0","Henricia sanguinolenta","Abundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2015","0","Henricia sanguinolenta","logAbundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2015","0","Asterias rubens","Abundance",0.05,0.05,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2015","0","Asterias rubens","logAbundance",0.05,0.05,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2015","0","Asterias forbesii","Abundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Bass Harbor","2015","0","Asterias forbesii","logAbundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Bass Harbor","2016","0","Strongylocentrotus droebachiensis","Abundance",0.03,0.03,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2016","0","Strongylocentrotus droebachiensis","logAbundance",0.03,0.03,3,"Acadia NP","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Bass Harbor","2016","0","Henricia sanguinolenta","Abundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2016","0","Henricia sanguinolenta","logAbundance",0,0,3,"Acadia NP","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Bass Harbor","2016","0","Asterias rubens","Abundance",0,0,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2016","0","Asterias rubens","logAbundance",0,0,3,"Acadia NP","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Bass Harbor","2016","0","Asterias forbesii","Abundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Bass Harbor","2016","0","Asterias forbesii","logAbundance",0,0,3,"Acadia NP","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Calf Island","2013","0","Strongylocentrotus droebachiensis","Abundance",0,0,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Calf Island","2013","0","Strongylocentrotus droebachiensis","logAbundance",0,0,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Calf Island","2013","0","Henricia sanguinolenta","Abundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Calf Island","2013","0","Henricia sanguinolenta","logAbundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Calf Island","2013","0","Asterias rubens","Abundance",0.05,0.03,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Calf Island","2013","0","Asterias rubens","logAbundance",0.05,0.03,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Calf Island","2013","0","Asterias forbesii","Abundance",0,0,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Calf Island","2013","0","Asterias forbesii","logAbundance",0,0,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
"Calf Island","2014","0","Strongylocentrotus droebachiensis","Abundance",0,0,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Calf Island","2014","0","Strongylocentrotus droebachiensis","logAbundance",0,0,3,"Boston Harbor NRA","STRDRO","Green sea urchin","Green sea urchin (Strongylocentrotus droebachiensis)"
"Calf Island","2014","0","Henricia sanguinolenta","Abundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Calf Island","2014","0","Henricia sanguinolenta","logAbundance",0,0,3,"Boston Harbor NRA","HENSAN","Blood sea star","Blood sea star (Henricia sanguinolenta)"
"Calf Island","2014","0","Asterias rubens","Abundance",0,0,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Calf Island","2014","0","Asterias rubens","logAbundance",0,0,3,"Boston Harbor NRA","ASTRUB","Common sea star","Common sea star (Asterias rubens)"
"Calf Island","2014","0","Asterias forbesii","Abundance",0.02,0.02,3,"Boston Harbor NRA","ASTFOR","Northern sea star","Northern sea star (Asterias forbesii)"
