"Site_Name","Loc_Name","Start_Date","Year","Plot_Name","QAQC","Com_Sp","variable","value"
"Acadia NP","Bass Harbor",2013-06-21,"2013","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-24,"2013","X1",1,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-24,"2013","X2",1,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Bass Harbor",2013-06-24,"2013","X3",1,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2014-06-21,"2014","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2014-06-21,"2014","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.6
"Acadia NP","Bass Harbor",2014-06-21,"2014","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2015-06-12,"2015","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2015-06-12,"2015","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.25
"Acadia NP","Bass Harbor",2015-06-12,"2015","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2016-06-28,"2016","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2016-06-28,"2016","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.1
"Acadia NP","Bass Harbor",2016-06-28,"2016","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Little Hunter",2016-06-27,"2016","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
