"Site_Name","Loc_Name","Start_Date","Year","Species","Com_Sp","Plot_Name","Zone","variable","value"
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITLIT","Common periwinkle (Littorina littorea)","A1","Ascophyllum","Abundance",8
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","A1","Ascophyllum","Abundance",16
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","A1","Ascophyllum","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","NUCLAP","Dogwhelk (Nucella lapillus)","A1","Ascophyllum","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","TECTES","Limpet (Tectura testudinalis)","A1","Ascophyllum","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITLIT","Common periwinkle (Littorina littorea)","A2","Ascophyllum","Abundance",21.3333333333333
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","A2","Ascophyllum","Abundance",66.6666666666667
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","A2","Ascophyllum","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","NUCLAP","Dogwhelk (Nucella lapillus)","A2","Ascophyllum","Abundance",2.66666666666667
"Acadia NP","Bass Harbor",2013-06-21,"2013","TECTES","Limpet (Tectura testudinalis)","A2","Ascophyllum","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITLIT","Common periwinkle (Littorina littorea)","A3","Ascophyllum","Abundance",42.6666666666667
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","A3","Ascophyllum","Abundance",90.6666666666667
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","A3","Ascophyllum","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","NUCLAP","Dogwhelk (Nucella lapillus)","A3","Ascophyllum","Abundance",5.33333333333333
"Acadia NP","Bass Harbor",2013-06-21,"2013","TECTES","Limpet (Tectura testudinalis)","A3","Ascophyllum","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITLIT","Common periwinkle (Littorina littorea)","A4","Ascophyllum","Abundance",500
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","A4","Ascophyllum","Abundance",175
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","A4","Ascophyllum","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","NUCLAP","Dogwhelk (Nucella lapillus)","A4","Ascophyllum","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","TECTES","Limpet (Tectura testudinalis)","A4","Ascophyllum","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITLIT","Common periwinkle (Littorina littorea)","A5","Ascophyllum","Abundance",61.3333333333333
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","A5","Ascophyllum","Abundance",61.3333333333333
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","A5","Ascophyllum","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","NUCLAP","Dogwhelk (Nucella lapillus)","A5","Ascophyllum","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","TECTES","Limpet (Tectura testudinalis)","A5","Ascophyllum","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITLIT","Common periwinkle (Littorina littorea)","B1","Barnacle","Abundance",2.66666666666667
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","B1","Barnacle","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","B1","Barnacle","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","NUCLAP","Dogwhelk (Nucella lapillus)","B1","Barnacle","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","TECTES","Limpet (Tectura testudinalis)","B1","Barnacle","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITLIT","Common periwinkle (Littorina littorea)","B2","Barnacle","Abundance",2.66666666666667
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITOBT","Smooth periwinkle (Littorina obtusata)","B2","Barnacle","Abundance",2.66666666666667
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITSAX","Rough periwinkle (Littorina saxatilis)","B2","Barnacle","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","NUCLAP","Dogwhelk (Nucella lapillus)","B2","Barnacle","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","TECTES","Limpet (Tectura testudinalis)","B2","Barnacle","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","LITLIT","Common periwinkle (Littorina littorea)","B3","Barnacle","Abundance",0
