"Loc_Name","Year","QAQC","Spp_Code","mean","sd","se","Site_Name","Site_Code","Loc_Code","Common_Name","Spp_Name","Category","TSN","Comments"
"Bass Harbor","2013","0","ASCEPI",0,0,0,"Acadia NP","ACAD","BASHAR","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Bass Harbor","2013","0","BARSPP",0.162,0.125,0.072,"Acadia NP","ACAD","BASHAR","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Bass Harbor","2013","0","NONCOR",0.102,0.003,0.002,"Acadia NP","ACAD","BASHAR","Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Bass Harbor","2013","0","FUCEPI",0.019,0.016,0.009,"Acadia NP","ACAD","BASHAR","Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Bass Harbor","2013","0","CHOMAS",0.105,0.05,0.029,"Acadia NP","ACAD","BASHAR","Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Bass Harbor","2013","0","ASCNOD",0,0,0,"Acadia NP","ACAD","BASHAR","Knotted Wrack","Ascophyllum nodosum","Species",11331,"brown algae species"
"Bass Harbor","2013","0","ROCK",0.154,0.012,0.007,"Acadia NP","ACAD","BASHAR","Rock","Rock","Substrate",-893,"rock"
"Bass Harbor","2013","0","FUCSPP",0.312,0.064,0.037,"Acadia NP","ACAD","BASHAR","Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Bass Harbor","2013","0","ULVSPP",0.087,0.022,0.013,"Acadia NP","ACAD","BASHAR","Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Bass Harbor","2013","0","WATER",0.028,0.003,0.002,"Acadia NP","ACAD","BASHAR","Water","Water","Substrate",-899,""
"Bass Harbor","2014","0","ASCEPI",0,0,0,"Acadia NP","ACAD","BASHAR","Ascophyllum epibont","Ascophyllum epibont","Species Group",-11331,"organism that lives on the surface of Ascophyllum Spp."
"Bass Harbor","2014","0","BARSPP",0.149,0.118,0.068,"Acadia NP","ACAD","BASHAR","Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Bass Harbor","2014","0","NONCOR",0.103,0.044,0.025,"Acadia NP","ACAD","BASHAR","Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Bass Harbor","2014","0","FUCEPI",0.035,0.01,0.006,"Acadia NP","ACAD","BASHAR","Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Bass Harbor","2014","0","CHOMAS",0.075,0.043,0.025,"Acadia NP","ACAD","BASHAR","Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
