"Site_Name","Site_Code","Loc_Name","Loc_Code","QAQC","Plot_Name","Start_Date","Year","Spp_Code","distance_m","Common_Name","Spp_Name","Category","TSN","Comments"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",0,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",0.3,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","WATER",0.6,"Water","Water","Substrate",-899,""
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",0.9,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",1.2,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",1.5,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",1.8,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",2.1,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",2.4,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",2.7,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",3,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","WATER",3.3,"Water","Water","Substrate",-899,""
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",3.6,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","WATER",3.9,"Water","Water","Substrate",-899,""
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",4.2,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",4.5,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",4.8,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",5.1,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",5.4,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","WATER",5.7,"Water","Water","Substrate",-899,""
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",6,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",6.3,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",6.6,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",6.9,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",7.2,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",7.5,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",7.8,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",8.1,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",8.4,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",8.7,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",9,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",9.3,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",9.6,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",9.9,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",10.2,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",10.5,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",10.8,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","BARSPP",11.1,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",11.4,"Rock","Rock","Substrate",-893,"rock"
