Site_Name,State,Loc_Name,Start_Date,Plot_Name,Spp_Name,Spp_Code,Measurement
Acadia NP,ME,Bass Harbor,6/21/2013,X1,,,
Acadia NP,ME,Bass Harbor,6/21/2013,X2,,,
Acadia NP,ME,Bass Harbor,6/21/2013,X3,,,
Acadia NP,ME,Bass Harbor,6/24/2013,X1,,,
Acadia NP,ME,Bass Harbor,6/24/2013,X2,Sea urchin (S. droebachiensis),STRDRO,66
Acadia NP,ME,Bass Harbor,6/24/2013,X3,,,
Acadia NP,ME,Bass Harbor,6/21/2014,X1,,,
Acadia NP,ME,Bass Harbor,6/21/2014,X2,Asterias rubens,ASTRUB,15
Acadia NP,ME,Bass Harbor,6/21/2014,X2,Sea urchin (S. droebachiensis),STRDRO,18
Acadia NP,ME,Bass Harbor,6/21/2014,X2,Sea urchin (S. droebachiensis),STRDRO,21
Acadia NP,ME,Bass Harbor,6/21/2014,X2,Sea urchin (S. droebachiensis),STRDRO,26
Acadia NP,ME,Bass Harbor,6/21/2014,X2,Sea urchin (S. droebachiensis),STRDRO,27
Acadia NP,ME,Bass Harbor,6/21/2014,X2,Sea urchin (S. droebachiensis),STRDRO,28
Acadia NP,ME,Bass Harbor,6/21/2014,X2,Sea urchin (S. droebachiensis),STRDRO,33
Acadia NP,ME,Bass Harbor,6/21/2014,X2,Sea urchin (S. droebachiensis),STRDRO,34
Acadia NP,ME,Bass Harbor,6/21/2014,X2,Sea urchin (S. droebachiensis),STRDRO,48
Acadia NP,ME,Bass Harbor,6/21/2014,X2,Sea urchin (S. droebachiensis),STRDRO,55
Acadia NP,ME,Bass Harbor,6/21/2014,X2,Sea urchin (S. droebachiensis),STRDRO,80
Acadia NP,ME,Bass Harbor,6/21/2014,X3,,,
Acadia NP,ME,Otter Point,6/23/2013,X1,Asterias rubens,ASTRUB,42
Acadia NP,ME,Otter Point,6/23/2013,X1,Asterias rubens,ASTRUB,56
Acadia NP,ME,Otter Point,6/23/2013,X2,Asterias rubens,ASTRUB,27
Acadia NP,ME,Otter Point,6/23/2013,X2,Asterias rubens,ASTRUB,55
Acadia NP,ME,Otter Point,6/23/2013,X3,Asterias rubens,ASTRUB,48
Acadia NP,ME,Otter Point,6/23/2013,X3,Sea urchin (S. droebachiensis),STRDRO,40
Acadia NP,ME,Otter Point,6/23/2013,X3,Sea urchin (S. droebachiensis),STRDRO,54
Acadia NP,ME,Otter Point,6/23/2013,X3,Sea urchin (S. droebachiensis),STRDRO,55
Acadia NP,ME,Otter Point,6/23/2013,X3,Sea urchin (S. droebachiensis),STRDRO,58
Acadia NP,ME,Otter Point,6/23/2013,X3,Sea urchin (S. droebachiensis),STRDRO,65
Acadia NP,ME,Otter Point,6/19/2014,X1,Asterias rubens,ASTRUB,11
Acadia NP,ME,Otter Point,6/19/2014,X1,Asterias rubens,ASTRUB,47
Acadia NP,ME,Otter Point,6/19/2014,X2,Asterias rubens,ASTRUB,11
Acadia NP,ME,Otter Point,6/19/2014,X2,Asterias rubens,ASTRUB,11
Acadia NP,ME,Otter Point,6/19/2014,X2,Asterias rubens,ASTRUB,12
Acadia NP,ME,Otter Point,6/19/2014,X2,Asterias rubens,ASTRUB,16
Acadia NP,ME,Otter Point,6/19/2014,X2,Asterias rubens,ASTRUB,17
Acadia NP,ME,Otter Point,6/19/2014,X2,Asterias rubens,ASTRUB,22
Acadia NP,ME,Otter Point,6/19/2014,X2,Asterias rubens,ASTRUB,22
Acadia NP,ME,Otter Point,6/19/2014,X2,Asterias rubens,ASTRUB,23
Acadia NP,ME,Otter Point,6/19/2014,X2,Asterias rubens,ASTRUB,27
Acadia NP,ME,Otter Point,6/19/2014,X2,Asterias rubens,ASTRUB,54
Acadia NP,ME,Otter Point,6/19/2014,X2,Sea urchin (S. droebachiensis),STRDRO,24
Acadia NP,ME,Otter Point,6/19/2014,X2,Sea urchin (S. droebachiensis),STRDRO,30
Acadia NP,ME,Otter Point,6/19/2014,X2,Sea urchin (S. droebachiensis),STRDRO,33
Acadia NP,ME,Otter Point,6/19/2014,X2,Sea urchin (S. droebachiensis),STRDRO,36
Acadia NP,ME,Otter Point,6/19/2014,X2,Sea urchin (S. droebachiensis),STRDRO,37
Acadia NP,ME,Otter Point,6/19/2014,X2,Sea urchin (S. droebachiensis),STRDRO,39
Acadia NP,ME,Otter Point,6/19/2014,X2,Sea urchin (S. droebachiensis),STRDRO,39
Acadia NP,ME,Otter Point,6/19/2014,X2,Sea urchin (S. droebachiensis),STRDRO,41
Acadia NP,ME,Otter Point,6/19/2014,X2,Sea urchin (S. droebachiensis),STRDRO,48
Acadia NP,ME,Otter Point,6/19/2014,X3,Asterias rubens,ASTRUB,8
Acadia NP,ME,Otter Point,6/19/2014,X3,Asterias rubens,ASTRUB,8
Acadia NP,ME,Otter Point,6/19/2014,X3,Asterias rubens,ASTRUB,8
Acadia NP,ME,Otter Point,6/19/2014,X3,Asterias rubens,ASTRUB,8
Acadia NP,ME,Otter Point,6/19/2014,X3,Asterias rubens,ASTRUB,10
Acadia NP,ME,Otter Point,6/19/2014,X3,Asterias rubens,ASTRUB,14
Acadia NP,ME,Otter Point,6/19/2014,X3,Asterias rubens,ASTRUB,14
Acadia NP,ME,Otter Point,6/19/2014,X3,Asterias rubens,ASTRUB,16
Acadia NP,ME,Otter Point,6/19/2014,X3,Asterias rubens,ASTRUB,17
Acadia NP,ME,Otter Point,6/19/2014,X3,Asterias rubens,ASTRUB,37
Acadia NP,ME,Otter Point,6/19/2014,X3,Sea urchin (S. droebachiensis),STRDRO,25
Acadia NP,ME,Otter Point,6/19/2014,X3,Sea urchin (S. droebachiensis),STRDRO,27
Acadia NP,ME,Otter Point,6/19/2014,X3,Sea urchin (S. droebachiensis),STRDRO,29
Acadia NP,ME,Otter Point,6/19/2014,X3,Sea urchin (S. droebachiensis),STRDRO,31
Acadia NP,ME,Otter Point,6/19/2014,X3,Sea urchin (S. droebachiensis),STRDRO,33
Acadia NP,ME,Otter Point,6/19/2014,X3,Sea urchin (S. droebachiensis),STRDRO,34
Acadia NP,ME,Otter Point,6/19/2014,X3,Sea urchin (S. droebachiensis),STRDRO,35
Acadia NP,ME,Otter Point,6/19/2014,X3,Sea urchin (S. droebachiensis),STRDRO,35
Acadia NP,ME,Otter Point,6/19/2014,X3,Sea urchin (S. droebachiensis),STRDRO,54
Acadia NP,ME,Otter Point,6/19/2014,X3,Sea urchin (S. droebachiensis),STRDRO,58
Acadia NP,ME,Schoodic Point,6/19/2013,X1,Asterias rubens,ASTRUB,26
Acadia NP,ME,Schoodic Point,6/19/2013,X1,Asterias rubens,ASTRUB,34
Acadia NP,ME,Schoodic Point,6/19/2013,X1,Sea urchin (S. droebachiensis),STRDRO,32
Acadia NP,ME,Schoodic Point,6/19/2013,X1,Sea urchin (S. droebachiensis),STRDRO,43
Acadia NP,ME,Schoodic Point,6/19/2013,X1,Sea urchin (S. droebachiensis),STRDRO,45
Acadia NP,ME,Schoodic Point,6/19/2013,X1,Sea urchin (S. droebachiensis),STRDRO,46
Acadia NP,ME,Schoodic Point,6/19/2013,X1,Sea urchin (S. droebachiensis),STRDRO,49
Acadia NP,ME,Schoodic Point,6/19/2013,X1,Sea urchin (S. droebachiensis),STRDRO,60
Acadia NP,ME,Schoodic Point,6/19/2013,X1,Sea urchin (S. droebachiensis),STRDRO,63
Acadia NP,ME,Schoodic Point,6/19/2013,X1,Sea urchin (S. droebachiensis),STRDRO,64
Acadia NP,ME,Schoodic Point,6/19/2013,X1,Sea urchin (S. droebachiensis),STRDRO,66
Acadia NP,ME,Schoodic Point,6/19/2013,X1,Sea urchin (S. droebachiensis),STRDRO,66
Acadia NP,ME,Schoodic Point,6/19/2013,X2,Sea urchin (S. droebachiensis),STRDRO,31
Acadia NP,ME,Schoodic Point,6/19/2013,X2,Sea urchin (S. droebachiensis),STRDRO,37
Acadia NP,ME,Schoodic Point,6/19/2013,X2,Sea urchin (S. droebachiensis),STRDRO,40
Acadia NP,ME,Schoodic Point,6/19/2013,X2,Sea urchin (S. droebachiensis),STRDRO,45
Acadia NP,ME,Schoodic Point,6/19/2013,X2,Sea urchin (S. droebachiensis),STRDRO,49
Acadia NP,ME,Schoodic Point,6/19/2013,X2,Sea urchin (S. droebachiensis),STRDRO,51
Acadia NP,ME,Schoodic Point,6/19/2013,X2,Sea urchin (S. droebachiensis),STRDRO,51
Acadia NP,ME,Schoodic Point,6/19/2013,X2,Sea urchin (S. droebachiensis),STRDRO,52
Acadia NP,ME,Schoodic Point,6/19/2013,X2,Sea urchin (S. droebachiensis),STRDRO,60
Acadia NP,ME,Schoodic Point,6/19/2013,X2,Sea urchin (S. droebachiensis),STRDRO,62
Acadia NP,ME,Schoodic Point,6/19/2013,X3,Sea urchin (S. droebachiensis),STRDRO,54
Acadia NP,ME,Schoodic Point,6/17/2014,X1,Asterias rubens,ASTRUB,9
Acadia NP,ME,Schoodic Point,6/17/2014,X1,Asterias rubens,ASTRUB,11
Acadia NP,ME,Schoodic Point,6/17/2014,X1,Asterias rubens,ASTRUB,17
Acadia NP,ME,Schoodic Point,6/17/2014,X1,Asterias rubens,ASTRUB,19
Acadia NP,ME,Schoodic Point,6/17/2014,X1,Asterias rubens,ASTRUB,36
Acadia NP,ME,Schoodic Point,6/17/2014,X1,Asterias rubens,ASTRUB,39
Acadia NP,ME,Schoodic Point,6/17/2014,X1,Asterias rubens,ASTRUB,49
Acadia NP,ME,Schoodic Point,6/17/2014,X1,Sea urchin (S. droebachiensis),STRDRO,22
Acadia NP,ME,Schoodic Point,6/17/2014,X1,Sea urchin (S. droebachiensis),STRDRO,44
Acadia NP,ME,Schoodic Point,6/17/2014,X1,Sea urchin (S. droebachiensis),STRDRO,58
Acadia NP,ME,Schoodic Point,6/17/2014,X1,Sea urchin (S. droebachiensis),STRDRO,66
Acadia NP,ME,Schoodic Point,6/17/2014,X2,Asterias rubens,ASTRUB,16
Acadia NP,ME,Schoodic Point,6/17/2014,X2,Sea urchin (S. droebachiensis),STRDRO,39
Acadia NP,ME,Schoodic Point,6/17/2014,X2,Sea urchin (S. droebachiensis),STRDRO,44
Acadia NP,ME,Schoodic Point,6/17/2014,X2,Sea urchin (S. droebachiensis),STRDRO,45
Acadia NP,ME,Schoodic Point,6/17/2014,X2,Sea urchin (S. droebachiensis),STRDRO,47
Acadia NP,ME,Schoodic Point,6/17/2014,X2,Sea urchin (S. droebachiensis),STRDRO,47
Acadia NP,ME,Schoodic Point,6/17/2014,X2,Sea urchin (S. droebachiensis),STRDRO,52
