Site_Name,State,Loc_Name,Start_Date,Target_Species,Plot_Name,Spp_Name,Species,Damage,No Damage,Subsampled
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A1,Common periwinkle (Littorina littorea),LITLIT,0,3,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A1,Smooth periwinkle (Littorina obtusata),LITOBT,0,6,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A1,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A1,Dogwhelk (Nucella lapillus),NUCLAP,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A1,Limpet (Tectura testudinalis),TECTES,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Common periwinkle (Littorina littorea),LITLIT,0,8,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Smooth periwinkle (Littorina obtusata),LITOBT,0,25,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Dogwhelk (Nucella lapillus),NUCLAP,0,1,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A2,Limpet (Tectura testudinalis),TECTES,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Common periwinkle (Littorina littorea),LITLIT,0,16,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Smooth periwinkle (Littorina obtusata),LITOBT,0,34,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Dogwhelk (Nucella lapillus),NUCLAP,0,2,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A3,Limpet (Tectura testudinalis),TECTES,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A4,Common periwinkle (Littorina littorea),LITLIT,0,20,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A4,Smooth periwinkle (Littorina obtusata),LITOBT,1,6,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A4,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A4,Dogwhelk (Nucella lapillus),NUCLAP,0,0,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A4,Limpet (Tectura testudinalis),TECTES,0,0,Yes
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A5,Common periwinkle (Littorina littorea),LITLIT,1,22,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A5,Smooth periwinkle (Littorina obtusata),LITOBT,0,23,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A5,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A5,Dogwhelk (Nucella lapillus),NUCLAP,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Ascophyllum,A5,Limpet (Tectura testudinalis),TECTES,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B1,Common periwinkle (Littorina littorea),LITLIT,0,1,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B1,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B1,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B1,Dogwhelk (Nucella lapillus),NUCLAP,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B1,Limpet (Tectura testudinalis),TECTES,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B2,Common periwinkle (Littorina littorea),LITLIT,0,1,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B2,Smooth periwinkle (Littorina obtusata),LITOBT,0,1,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B2,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B2,Dogwhelk (Nucella lapillus),NUCLAP,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B2,Limpet (Tectura testudinalis),TECTES,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B3,Common periwinkle (Littorina littorea),LITLIT,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B3,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B3,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B3,Dogwhelk (Nucella lapillus),NUCLAP,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B3,Limpet (Tectura testudinalis),TECTES,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B4,Common periwinkle (Littorina littorea),LITLIT,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B4,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B4,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B4,Dogwhelk (Nucella lapillus),NUCLAP,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B4,Limpet (Tectura testudinalis),TECTES,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B5,Common periwinkle (Littorina littorea),LITLIT,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B5,Smooth periwinkle (Littorina obtusata),LITOBT,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B5,Rough periwinkle (Littorina saxatilis),LITSAX,0,0,No
Acadia NP,ME,Bass Harbor,6/21/2013,Barnacle,B5,Dogwhelk (Nucella lapillus),NUCLAP,0,0,No
