"Site_Name","State_Code","Loc_Name","Start_Date","Target_Species","Plot_Name","Count_STRDRO","Count_HENSAN","Count_ASTRUB","Count_ASTFOR"
"Acadia NP","ME","Bass Harbor",6/21/2013 0:00:00,"Echinoderms","X1",0,0,0,0
"Acadia NP","ME","Bass Harbor",6/21/2013 0:00:00,"Echinoderms","X2",0,0,0,0
"Acadia NP","ME","Bass Harbor",6/21/2013 0:00:00,"Echinoderms","X3",0,0,0,0
"Acadia NP","ME","Bass Harbor",6/24/2013 0:00:00,"Echinoderms","X1",0,0,0,0
"Acadia NP","ME","Bass Harbor",6/24/2013 0:00:00,"Echinoderms","X2",1,0,0,0
"Acadia NP","ME","Bass Harbor",6/24/2013 0:00:00,"Echinoderms","X3",0,0,0,0
"Acadia NP","ME","Bass Harbor",6/21/2014 0:00:00,"Echinoderms","X1",0,0,0,0
"Acadia NP","ME","Bass Harbor",6/21/2014 0:00:00,"Echinoderms","X2",12,0,1,0
"Acadia NP","ME","Bass Harbor",6/21/2014 0:00:00,"Echinoderms","X3",0,0,0,0
"Acadia NP","ME","Bass Harbor",6/12/2015 0:00:00,"Echinoderms","X1",0,0,3,0
"Acadia NP","ME","Bass Harbor",6/12/2015 0:00:00,"Echinoderms","X2",5,0,0,0
"Acadia NP","ME","Bass Harbor",6/12/2015 0:00:00,"Echinoderms","X3",0,0,0,0
"Acadia NP","ME","Bass Harbor",6/28/2016 0:00:00,"Echinoderms","X1",0,0,0,0
"Acadia NP","ME","Bass Harbor",6/28/2016 0:00:00,"Echinoderms","X2",2,0,0,0
"Acadia NP","ME","Bass Harbor",6/28/2016 0:00:00,"Echinoderms","X3",0,0,0,0
"Acadia NP","ME","Little Hunter",6/27/2016 0:00:00,"Echinoderms","X1",0,0,0,0
"Acadia NP","ME","Little Hunter",6/27/2016 0:00:00,"Echinoderms","X2",1,0,3,0
"Acadia NP","ME","Little Hunter",6/27/2016 0:00:00,"Echinoderms","X3",194,0,7,0
